gautier_id,gautier_number,recipient,old_edition_numbers,conventional_title_or_incipit,gautier_pages,pg_location,gibi_page,source_packet,source_condition,translation_status,confidence,identification_confidence,notes
G030,30,Nikephoros the chartophylax,Lami-Finetti XXII,До хартофилакса господин Никифор,,PG114 (PG marker 275),110,PG114,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G031,31,Kamateros,Lami-Finetti XXIII,До Каматир,,PG115 (PG marker 276),111,PG115,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G032,32,Anemas,Lami-Finetti XXIV; also Meursius XIX,До Анема,,PG116 (PG marker 277),112,PG116,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G033,33,Mermentoulos,Lami-Finetti XXV,До Мерментул,,PG117 (PG marker 278),113,PG117,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G034,34,Anemas,Lami-Finetti XXVI; also Meursius XXI,До Анема,,PG118 (PG marker 278),114,PG118,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G035,35,"Chrysoberges, metropolitan of Naupaktos",Lami-Finetti XXVII,До навпактския митрополит Хризоверг,,PG119 (PG marker 279),115,PG119,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G036,36,the bishop of Pelagonia,Lami-Finetti XXVIII,До пелагонийския епископ,,PG120 (PG marker 280),116,PG120,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G037,37,"Symeon, hegoumenos of the monastery at Anaplous",Lami-Finetti XXIX,"До господин Симеон, игумен на манастира в Анаплус",,PG121 (PG marker 281),117,PG121,truncated_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G038,38,Gregory Kamateros,Lami-Finetti XXX,До господин Григорий Каматир,,PG122 (PG marker 282),119,PG122,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G039,39,Michael Pantechnes,Lami-Finetti XXXI,До господин Михаил Пантехни,,PG123 (PG marker 283),120,PG123,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G040,40,Niketas Polites,Lami-Finetti XXXII,До господин Никита Полит,,PG124 (PG marker 284),122,PG124,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G041,41,Anemas,Lami-Finetti XXXIII,До Анема,,PG125 (PG marker 285),122,PG125,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G042,42,Theophylact Rhomaios,Lami-Finetti XXXIV,До Теофилакт Ромей,,PG126 (PG marker 285),123,PG126,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G043,43,the same addressee as G042,Lami-Finetti XXXV,До същия,,PG127 (PG marker 286),124,PG127,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G044,44,Machetarios,Finetti III,До Махитар,,PG002 (PG marker 163),125,PG002,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G045,45,"the patriarch, probably Nicholas III Grammatikos",Finetti IV,До патриарха [Николай III Граматик],,PG003 (PG marker 164),126,PG003,truncated_ocr,targeted_second_pass_checked_truncated_needs_gautier_collation,C,medium,Targeted PG OCR check completed; source remains truncated and must not be completed by conjecture.
G046,46,Rhomaios,Finetti V,До Ромей,,PG005 (PG marker 166),129,PG005,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G047,47,Mermentopoulos,Finetti VI,До Мерментопул,,PG006 (PG marker 167),130,PG006,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G048,48,Michael Pantechnes,Finetti VII,До господин Михаил Пантехни,,PG007 (PG marker 168),130,PG007,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G049,49,John Servlias,Finetti VIII,До господин Йоан Сервлиа,,PG008 (PG marker 168),131,PG008,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G050,50,Pantechnes,Finetti IX,До Пантехни,,PG010 (PG marker 169),132,PG010,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G051,51,Nikephoros the chartophylax,Finetti X,До хартофилакса господин Никифор,,PG011 (PG marker 169),132,PG011,truncated_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G052,52,the bishop of Kitros,Finetti XI,До кипърския епископ,,PG012 (PG marker 169),132,PG012,pg_ocr_not_collated,targeted_second_pass_checked_localized_ocr_uncertainty,C,medium,Targeted PG OCR check completed; courier name and Frankish-incursion details remain OCR-sensitive.
G053,53,Gregory Kamateros,Finetti XII,До господин Григорий Каматир,,PG013 (PG marker 170),133,PG013,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G054,54,Patriarch Nicholas III Grammatikos,Finetti XIII,До патриарха [Николай III Граматик],,PG014 (PG marker 172),136,PG014,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G055,55,Pakourianos,Finetti XIV,До Пакуриан,,PG015 (PG marker 174),138,PG015,merged_or_continuation_packet,baseline_first_pass_copied_pending_clause_audit,C,medium,
G056,56,the bishop of Semnoi,Finetti XV,До семнонския епископ,,PG017 (PG marker 175),139,PG017,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G057,57,the bishop of Vidin,Finetti XVI,До видинския епископ,,PG018 (PG marker 175),140,PG018,truncated_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G058,58,the bishop of Triaditza,Finetti XVII,До триадишкия епископ,,PG019 (PG marker 176),141,PG019,truncated_ocr,targeted_second_pass_checked_truncated_needs_gautier_collation,C,medium,Targeted PG OCR check completed; clipped final prayer preserved rather than supplied.
G059,59,"the bishop of Triaditza, from the synod, after he excused himself from the assembly",Finetti XVIII,"До същия от Синода, задето помолил да бъде освободен от заседанията",,PG020 (PG marker 179),145,PG020,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G060,60,"the same bishop of Triaditza, from the archbishop",Finetti XIX,До същия от архиепископа,,PG021 (PG marker 182),147,PG021,truncated_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G061,61,?John Komnenos; addressed as `pansebastos antileptor`,Meursius I,?,,"PG 126, cols. 357-360, via Calfa-GREgORI OCR; Mullett cites Gautier II, 353.25-27 for the lake passage; Gautier collation still required",151,,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G062,62,the magistros John,Meursius II,До господина магистъра Йоан,,PG024 (PG marker 187),152,PG024,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G063,63,possibly the bishop of Pelagonia,[not recorded],?,II 357-359 (from prior local note; verify),"no recoverable PG packet in the current extraction; GIBI index lists the item as ""?"" on p. 152",152,,absent_or_not_recovered,incomplete_source_missing_no_translation,D,low,Known source gap: GIBI row is '?' on p. 152; local extraction has no secure complete text.
G064,64,Patriarch Nicholas,Meursius III,До господин патриарха Николай,,PG025 (PG marker 188),153,PG025,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G065,65,"Gregory Taronites, proedros",Meursius IV,"До господин Григорий, племенник на Таронит",,PG026 (PG marker 189),154,PG026,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G066,66,Nikephoros the chartophylax,Meursius V,До господин хартофилакса Никифор,,PG027 (PG marker 190),155,PG027,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G067,67,Gregory Kamateros,Meursius VI,До господин Григорий Каматир,,PG028 (PG marker 191),156,PG028,truncated_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G068,68,"Gregory Pakourianos, son-in-law of the Grand Droungarios",Meursius VII,"До господина Григорий Пакуриан, зетя на Великия друнгарий",,PG029 (PG marker 192),158,PG029,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G069,69,"Oreiomachos/Ophiomachos, probably addressed as John",Meursius VIII,До Офеомах,,PG029 (PG marker 192),159,PG029,truncated_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G070,70,"the didaskalos lord Niketas, connected with Serres",Meursius IX,"До дидаскала господин Никита, [племенник на] серския епископ",,PG030 (PG marker 194),159,PG030,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G071,71,"Oreiomachos/Ophiomachos, addressed as John",Meursius X,До Офеомах,,PG031 (PG marker 194),160,PG031,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G072,72,"Theodoulos, metropolitan of Thessalonica",Meursius XI,До солунския митрополит господин Теодул,,PG032 (PG marker 195),161,PG032,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G073,73,"the Caesar, probably Nikephoros Melissenos",Meursius XII,До кесаря [Никифор Мелисин],,PG033 (PG marker 196),162,PG033,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G074,74,the bishop of Semnoi,Meursius XIII,До семнонския епископ,,PG034 (PG marker 198),164,PG034,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G075,75,"Nicholas, bishop of Kerkyra",Meursius XVII,До епископа на Керкира,,PG038 (PG marker 201),165,PG038,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G076,76,Mermentoulos,Meursius XX,До епископа на Керкира,,PG041 (PG marker 204),165,PG041,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G077,77,"Nicholas, bishop of Kerkyra",probably Meursius XXII,До Мерментул,,PG042 (PG marker 205),166,PG042,merged_or_continuation_packet,baseline_first_pass_copied_pending_clause_audit,C,medium,
G078,78,Gregory Taronites,Meursius XXIII,До епископа на Керкира,,PG043 (PG marker 208),167,PG043,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G079,79,"Adrian, Grand Domestic",Meursius XXIV,До Великия доместик господин Адриан,,PG044 (PG marker 209),172,PG044,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G080,80,Gregory Pakourianos,Meursius XXV,До севаста Пакуриан,,PG045 (PG marker 212),174,PG045,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G081,81,Gregory Taronites,Meursius XXVI,До господин Григорий Таронит,,PG046 (PG marker 212),175,PG046,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G082,82,Michael of Chalcedon,Meursius XXVII,До господин Михаил [племенник] на халкидонския епископ,,PG047 (PG marker 215),178,PG047,pg_ocr_not_collated,targeted_second_pass_checked_juridical_terms_need_gautier_collation,C,medium,Targeted PG OCR check completed; juridical terminology still needs Gautier collation.
G083,83,uncertain; probably a high ecclesiastical correspondent,Meursius XXVIII,До хартофилакса господин Никита,,PG048 (PG marker 216),180,PG048,damaged_or_corrupt_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G084,84,"Niketas, his pupil, deacon of the bishop of Chalcedon",Meursius XXIX,"До своя ученик Никита, дякон, [племенник] на халкидонския епископ",,PG049 (PG marker 217),181,PG049,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G085,85,"Adrian Komnenos, Grand Domestic, brother of the emperor",Meursius XXXI,"До Великия доместик господин Адриан, брат на царя [Адриан Комнин]",,PG050 (PG marker 218),182,PG050,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G086,86,"Bryennios, relative by marriage of the emperor",Meursius XXXII,"До вриениий, свата на царя",,PG051 (PG marker 221),185,PG051,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G087,87,the bishop of Triaditza,Meursius XXXIII,До триадишкия епископ,,PG052 (PG marker 222),186,PG052,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G088,88,"John, grammatikos of Palaiologos",Meursius XXXIII in the PG sequence,"До господин Йоан, писаря на Палеолог",,PG053 (PG marker 223),188,PG053,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G089,89,"Adrian, brother of the emperor",Meursius XXXIV,"До господин Адриан, брат на царя",,PG054 (PG marker 224),189,PG054,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G090,90,the chartophylax,Meursius XXXV,До хартофилакса,,PG055 (PG marker 225),190,PG055,merged_or_continuation_packet,baseline_first_pass_copied_pending_clause_audit,C,medium,
G091,91,the didaskalos of the Great Church,Meursius XXXVI,До учителя на Великата църква,,PG055 (PG marker 225),191,PG055,merged_or_continuation_packet,baseline_first_pass_copied_pending_clause_audit,C,medium,
G092,92,Gregory Taronites,Meursius XXXVII,До господин Григорий Таронит,,PG056 (PG marker 226),191,PG056,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G093,93,"Nicholas Kallikles, chief physician",Meursius XXXVIII,До главния лекар господин Николай Каликъл,,PG057 (PG marker 227),193,PG057,damaged_or_corrupt_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G094,94,Nicholas Kallikles,Meursius XXXIX,До същия,,PG058 (PG marker 228),193,PG058,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G095,95,"Smyrnaios, hypatos of the philosophers",Meursius XL,"До началника на философите, Смирненски",,PG059 (PG marker 228),194,PG059,damaged_or_corrupt_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G096,96,"Bryennios, panhypersebastos and son-in-law of the emperor",Meursius XLI,"До паниперсеваста Вриений, зетя на царя",,PG060 (PG marker 228),194,PG060,pg_ocr_not_collated,targeted_second_pass_checked_fiscal_terms_need_gautier_collation,C,medium,Targeted PG OCR check completed; fiscal vocabulary and units remain C-level until Gautier collation.
G097,97,John Peribleptenos,Meursius XLII,До господин Йоан Перивлептин,,PG061 (PG marker 233),199,PG061,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G098,98,"Adrian, brother of the emperor",Meursius XLIII,"До господин Адриан, брат на царя",,PG062 (PG marker 234),200,PG062,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G099,99,"Pantechnes, imperial physician",Meursius XLIV,"До лекаря на царя, Пантехни",,PG063 (PG marker 237),203,PG063,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G100,100,John the philosopher,Meursius XLV,До философа господин Йоан,,PG064 (PG marker 238),204,PG064,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G101,101,John Peribleptenos,Meursius XLVI,До господин Йоан Перивлептин,,PG065 (PG marker 239),205,PG065,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G102,102,"Michael Pantechnes, his pupil and physician",Meursius XLVII,"До неговия ученик, лекаря господин Михаил Пантехни",,PG066 (PG marker 239),206,PG066,merged_or_continuation_packet,baseline_first_pass_copied_pending_clause_audit,C,medium,
G103,103,the Bulgarians educated by him,Meursius XLVIII,До поучените от него българи,,PG066 (PG marker 239),206,PG066,damaged_or_corrupt_ocr,targeted_second_pass_checked_no_material_change_needs_gautier_collation,C,medium,Targeted PG OCR check completed; no material semantic correction made in G103 unit within merged PG066.
G104,104,"John Attaliates, protonotary of the doux of Attaleia",Meursius XLIX,"До господин Йоан Аталиат, протонотарий на аталийския дука",,PG067 (PG marker 240),207,PG067,pg_ocr_not_collated,terminology_revised_pending_clause_audit,C,medium,Terminology normalized in v2: protonotary of the doux of Attaleia.
G105,105,"Bryennios, doux of Dyrrachium",Meursius L,До дирахийския дука Вриений,,PG068 (PG marker 241),207,PG068,merged_or_continuation_packet,terminology_revised_pending_clause_audit,C,medium,Terminology normalized in v2: doux of Dyrrachium.
G106,106,uncertain,Meursius LI,?,,PG068 (PG marker 241),208,PG068,damaged_or_corrupt_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G107,107,"the Despoina, Maria of Alania, who visited him when he was ill",Meursius LII,"До деспината [Мария Аланска], която го посети, когато беше болен",,PG069 (PG marker 242),209,PG069,pg_ocr_not_collated,targeted_second_pass_checked_no_material_change_needs_gautier_collation,C,medium,Targeted PG OCR check completed; no material semantic correction made.
G108,108,"Makrembolites, ruler of Prespa",Meursius LIII,"До Макремволит, преспанския управител",,PG070 (PG marker 242),209,PG070,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G109,109,the official in charge of petitions,Meursius LIV,До [препозита] за молбите,,PG071 (PG marker 242),210,PG071,damaged_or_corrupt_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G110,110,"Niketas, imperial physician",Meursius LV,До царския лекар господин Никита,,PG072 (PG marker 243),210,PG072,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G111,111,Nicholas Kallikles,Meursius LVI,До господин Николай Каликъл,,PG073 (PG marker 244),211,PG073,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G112,112,Nicholas Kallikles,Meursius LVII,До същия,,PG074 (PG marker 245),212,PG074,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G113,113,the bishop of Kitros,Meursius LVIII,До кипърския епископ,,PG075 (PG marker 245),213,PG075,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G114,114,"Pantechnes, proedros and proximos",Meursius LIX,До проедъра и проксима Пантехни,,PG076 (PG marker 246),214,PG076,damaged_or_corrupt_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G115,115,uncertain,Meursius LX,?,,PG077 (PG marker 247),214,PG077,damaged_or_corrupt_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G116,116,same uncertain correspondent as G115,Meursius LXI,До същия,,PG078 (PG marker 247),215,PG078,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G117,117,same uncertain correspondent as G115-G116,Meursius LXII,До същия,,PG079 (PG marker 247),215,PG079,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G118,118,"Constantine Doukas, sebastos",Meursius LXIII,До господин севаста Константин Дука,,PG080 (PG marker 247),215,PG080,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G119,119,Constantine Doukas,Meursius LXIV,До същия,,PG081 (PG marker 248),216,PG081,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G120,120,"John Pantechnes, magistros",Meursius LXV,До господин агистъра Йоан Пантехни,,PG082 (PG marker 249),217,PG082,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G121,121,the bishop of Kitros,Meursius LXVI,До кипърския епископ,,PG083 (PG marker 250),218,PG083,pg_ocr_not_collated,targeted_second_pass_checked_localized_ocr_uncertainty,C,medium,Short-letter PG OCR check completed; closing body/stream metaphor remains OCR-sensitive.
G122,122,the bishop of Deabolis/Debar,Meursius LXVIII,До дебърския епископ,,PG085 (PG marker 251),219,PG085,pg_ocr_not_collated,targeted_second_pass_checked_no_material_change_needs_gautier_collation,C,medium,Short-letter PG OCR check completed; no material semantic correction made; see-name needs Gautier.
G123,123,"Constantine, sebastos and doux of Beroia, son of the sebastokrator",Meursius LXIX,"До господин Севаста и верийски дука Константин, син на севастократора",,PG086 (PG marker 251),219,PG086,damaged_or_corrupt_ocr,terminology_revised_pending_clause_audit,C,medium,Terminology normalized in v2: sebastos and doux of Beroia.
G124,124,"Nikephoros, former chartophylax",Meursius LXIX/fragmentary sequence,До бившия хартофилакс господин Никифор,,PG087 (PG marker 252),220,PG087,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G125,125,uncertain,uncertain; PG OCR gives only a corrupt heading between G121 and G122,?,,PG084 (PG marker 251),220,,absent_or_not_recovered,incomplete_source_missing_no_translation,D,low,Known source gap: local PG084 contains only corrupt heading/no continuous body.
G126,126,Palaiologos,Meursius LXX,До Палеолог,,PG088 (PG marker 252),220,PG088,merged_or_continuation_packet,targeted_second_pass_checked_boundary_needs_gautier_collation,C,medium,Short-letter PG OCR check completed; boundary with G127 in merged PG088 confirmed.
G127,127,"Gregory Kamateros, protasekretis",Meursius LXXI,До протоасикрита господин Григорий Каматир,,PG088 (PG marker 252),221,PG088,merged_or_continuation_packet,baseline_first_pass_copied_pending_clause_audit,C,medium,
G128,128,"Pantechnes, proedros",Meursius LXXII,До проедъра Пантехни,,PG089 (PG marker 256),226,PG089,damaged_or_corrupt_ocr,baseline_first_pass_copied_pending_clause_audit,C,medium,
G129,129,"Michael Pantechnes, imperial physician",Meursius LXXIII,До царския лекар господин Михаил Пантехни,,PG090 (PG marker 257),226,PG090,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G130,130,Michael Pantechnes,Meursius LXXIV,До същия,,PG091 (PG marker 257),226,PG091,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G131,131,Michael Pantechnes,Meursius LXXV,До същия,,PG092 (PG marker 257),227,PG092,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
