date,gautier_id,category,summary,evidence,source_urls
2026-08-18,G084,extended_gautier_clause_audit,Corrected the refusal/shame logic in the opening Antilochus appeal.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G084\translation_v2.md; 02_sources/gautier/letter_packets/G084_gautier.txt,
2026-08-18,G086,extended_gautier_clause_audit,"Checked the Bryennios praise letter, messenger notice, and Psalm 90 closing against Gautier.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G086\translation_v2.md; 02_sources/gautier/letter_packets/G086_gautier.txt,
2026-08-18,G089,extended_gautier_clause_audit,"Corrected the 1 Corinthians 11 allusion: many are weak/sick and a fair number sleep; this is not about canons.; Corrected the final divine epithet to `indignant at wickedness`, while noting Gautier's conjecture.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G089\translation_v2.md; 02_sources/gautier/letter_packets/G089_gautier.txt,
2026-08-18,G090,extended_gautier_clause_audit,Corrected `lot` to the daimon/fortune language of the Greek.; Capitalized `the Churches` where Gautier takes the phrase as the chorion Les Eglises.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G090\translation_v2.md; 02_sources/gautier/letter_packets/G090_gautier.txt,
2026-08-18,G095,extended_gautier_clause_audit,Restored the Titus 3:5-based closing prayer; the first pass incorrectly made Theophylact's weakness an object of the oppressors.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G095\translation_v2.md; 02_sources/gautier/letter_packets/G095_gautier.txt,
2026-08-18,G099,extended_gautier_clause_audit,Lowercased and clarified `logos` where the Greek means discourse/reason/education rather than a direct Christological title.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G099\translation_v2.md; 02_sources/gautier/letter_packets/G099_gautier.txt,
2026-08-18,G100,extended_gautier_clause_audit,Corrected the phrase about the enemies wasting away; the first pass turned it into an exhortation to prick them again.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G100\translation_v2.md; 02_sources/gautier/letter_packets/G100_gautier.txt,
2026-08-18,G104,extended_gautier_clause_audit,Checked the Attaliates/protonotarios recommendation against Gautier.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G104\translation_v2.md; 02_sources/gautier/letter_packets/G104_gautier.txt,
2026-08-18,G105,extended_gautier_clause_audit,Checked the symbolic fish gift to Bryennios against Gautier and retained the Logos/Leviathan/salt structure.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G105\translation_v2.md; 02_sources/gautier/letter_packets/G105_gautier.txt,
2026-08-18,G106,extended_gautier_clause_audit,Restored `day after day` and standardized `praktor` in the anthill-of-misfortunes image.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G106\translation_v2.md; 02_sources/gautier/letter_packets/G106_gautier.txt,
2026-08-18,G108,extended_gautier_clause_audit,Checked the Prespa synod letter and cicada/starvation joke against Gautier.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G108\translation_v2.md; 02_sources/gautier/letter_packets/G108_gautier.txt,
2026-08-18,G112,extended_gautier_clause_audit,"Corrected the parable-of-the-sower imagery: the bird is a thought of disdain, not a premature winged conceit.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G112\translation_v2.md; 02_sources/gautier/letter_packets/G112_gautier.txt,
2026-08-18,G113,extended_gautier_clause_audit,"Corrected the opening appeal: Theophylact asks the bishop to help him better, not merely understand him.; Clarified the Achrida wine phrase.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G113\translation_v2.md; 02_sources/gautier/letter_packets/G113_gautier.txt,
2026-08-18,G118,extended_gautier_clause_audit,Standardized Vardarion spelling.; Restored `harmostes` and corrected `under-voices` to encouraging acclamations.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G118\translation_v2.md; 02_sources/gautier/letter_packets/G118_gautier.txt,
2026-08-18,G119,extended_gautier_clause_audit,Tightened the Theotokos title in line with Gautier's Greek.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G119\translation_v2.md; 02_sources/gautier/letter_packets/G119_gautier.txt,
2026-08-18,G123,extended_gautier_clause_audit,"Corrected the closing chain metaphor: the point is not to loosen the golden chain, not not to depart.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G123\translation_v2.md; 02_sources/gautier/letter_packets/G123_gautier.txt,
2026-08-18,G129,extended_gautier_clause_audit,"Corrected the beggar joke: he asks for crusts, not swords or cauldrons.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G129\translation_v2.md; 02_sources/gautier/letter_packets/G129_gautier.txt,
